time,signal
1.008403361,0.003075
1.012404962,0.0025259
1.016406563,0.0035246
1.020408163,-0.00014212
1.024409764,-0.0065548
1.028411365,-0.0059634
1.032412965,-0.0028765
1.036414566,-0.0014581
1.040416166,0.0033169
1.044417767,0.0065405
1.048419368,0.0021245
1.052420968,-0.0019433
1.056422569,8.83E-05
1.06042417,0.0019457
1.06442577,-2.11E-05
1.068427371,-0.0018405
1.072428972,-0.0022592
1.076430572,-0.0021728
1.080432173,0.00061218
1.084433774,0.0036749
1.088435374,0.00084552
1.092436975,-0.004536
1.096438575,-0.0039332
1.100440176,0.0015961
1.104441777,0.0035554
1.108443377,0.00085274
1.112444978,0.00094133
1.116446579,0.0042462
1.120448179,0.0026172
1.12444978,-0.0041622
1.128451381,-0.0066411
1.132452981,-0.0017893
1.136454582,0.0034838
1.140456182,0.0032476
1.144457783,-0.0014273
1.148459384,-0.0035597
1.152460984,0.00028011
1.156462585,0.00329
1.160464186,0.0015426
1.164465786,0.00072767
1.168467387,0.0015068
1.172468988,-0.0011353
1.176470588,-0.0042048
1.180472189,-0.0023767
1.18447379,0.00029578
1.18847539,-0.00053558
1.192476991,-0.00072683
1.196478591,0.0021382
1.200480192,0.0040541
1.204481793,0.0031383
1.208483393,0.00044461
1.212484994,-0.0026302
1.216486595,-0.0032079
1.220488195,-0.0014695
1.224489796,-8.34E-05
1.228491397,0.0016906
1.232492997,0.0023224
1.236494598,-0.0013989
1.240496198,-0.0038136
1.244497799,0.00048838
1.2484994,0.0039706
1.252501,0.00054696
1.256502601,-0.0019206
1.260504202,0.0010299
1.264505802,0.0018988
1.268507403,-0.00041356
1.272509004,-0.0001594
1.276510604,0.00076053
1.280512205,-0.0022778
1.284513806,-0.008785
1.288515406,-0.010911
1.292517007,0.0023616
1.296518607,0.019607
1.300520208,0.015166
1.304521809,-0.002937
1.308523409,-0.010301
1.31252501,-0.0069762
1.316526611,-0.00070942
1.320528211,0.0030461
1.324529812,-0.00011293
1.328531413,-0.0017407
1.332533013,0.0037076
1.336534614,0.0047355
1.340536214,-0.0031228
1.344537815,-0.0078452
1.348539416,-0.0035208
1.352541016,0.0025081
1.356542617,0.0041089
1.360544218,0.0029349
1.364545818,0.0011174
1.368547419,-0.0021055
1.37254902,-0.0047366
1.37655062,-0.003491
1.380552221,0.0011993
1.384553822,0.006798
1.388555422,0.0076204
1.392557023,0.00055156
1.396558623,-0.0052626
1.400560224,-0.0028473
1.404561825,0.00018559
1.408563425,-0.0018816
1.412565026,-0.0033034
1.416566627,-0.00089755
1.420568227,0.00037424
1.424569828,0.0011585
1.428571429,0.0045023
1.432573029,0.0041758
1.43657463,-0.00055898
1.44057623,-0.00208
1.444577831,-0.00076898
1.448579432,-0.00048448
1.452581032,-0.0008274
1.456582633,-0.00045592
1.460584234,0.00061071
1.464585834,-7.38E-06
1.468587435,-0.0020697
1.472589036,-0.0017486
1.476590636,0.00021826
1.480592237,0.00099475
1.484593838,0.0010223
1.488595438,0.00056401
1.492597039,-0.00011899
1.496598639,-0.00021649
1.50060024,-0.0001341
1.504601841,0.0015044
1.508603441,0.0044164
1.512605042,0.0023229
1.516606643,-0.0038257
1.520608243,-0.0043705
1.524609844,-0.00034374
1.528611445,0.00053387
1.532613045,0.0001055
1.536614646,0.0021421
1.540616246,0.0027658
1.544617847,-0.0012642
1.548619448,-0.0057561
1.552621048,-0.0050852
1.556622649,1.42E-05
1.56062425,0.0029281
1.56462585,0.0011135
1.568627451,0.0015514
1.572629052,0.006654
1.576630652,0.0060693
1.580632253,-0.0024292
1.584633854,-0.0066445
1.588635454,-0.0037152
1.592637055,-0.00082046
1.596638655,0.00097668
1.600640256,0.0016854
1.604641857,0.0002233
1.608643457,0.00033011
1.612645058,0.0019541
1.616646659,0.00072738
1.620648259,-0.0012965
1.62464986,-0.0008635
1.628651461,-0.00061945
1.632653061,-0.0025278
1.636654662,-0.0023051
1.640656263,0.002816
1.644657863,0.0046346
1.648659464,-0.0018393
1.652661064,-0.0047842
1.656662665,0.0016839
1.660664266,0.0055069
1.664665866,0.002072
1.668667467,-0.0005344
1.672669068,-0.00044469
1.676670668,-0.0016397
1.680672269,-0.0046269
1.68467387,-0.0043603
1.68867547,0.0022895
1.692677071,0.0021454
1.696678671,-0.010659
1.700680272,-0.0047777
1.704681873,0.023392
1.708683473,0.020813
1.712685074,-0.010916
1.716686675,-0.017176
1.720688275,-0.0029878
1.724689876,0.00027815
1.728691477,-0.0019348
1.732693077,-0.00027188
1.736694678,0.0024516
1.740696279,0.0035772
1.744697879,0.0019311
1.74869948,0.00013374
1.75270108,0.0002705
1.756702681,1.93E-05
1.760704282,-0.00091302
1.764705882,-0.00094145
1.768707483,0.00085574
1.772709084,0.00306
1.776710684,0.00051888
1.780712285,-0.0041334
1.784713886,-0.0022849
1.788715486,-0.00036034
1.792717087,-0.0065044
1.796718687,-0.0062209
1.800720288,0.0083926
1.804721889,0.01428
1.808723489,0.00096108
1.81272509,-0.0078494
1.816726691,-0.0024733
1.820728291,0.0011649
1.824729892,0.00050166
1.828731493,0.0028448
1.832733093,0.0032361
1.836734694,-0.0014985
1.840736295,-0.0042652
1.844737895,-0.0017515
1.848739496,0.0016472
1.852741096,0.00065211
1.856742697,-0.00369
1.860744298,-0.004315
1.864745898,-0.00041724
1.868747499,0.0023729
1.8727491,0.0038636
1.8767507,0.0037861
1.880752301,0.00032361
1.884753902,-0.0013189
1.888755502,0.00035203
1.892757103,0.0009715
1.896758703,0.00080916
1.900760304,-0.00027575
1.904761905,-0.0020865
1.908763505,-0.0010835
1.912765106,-0.00061916
1.916766707,-0.0033204
1.920768307,-0.0016376
1.924769908,0.0024845
1.928771509,0.00066392
1.932773109,-0.0006596
1.93677471,0.0024426
1.940776311,0.0022028
1.944777911,-0.0011573
1.948779512,-0.001609
1.952781112,0.0012696
1.956782713,0.0039838
1.960784314,0.001556
1.964785914,-0.0045064
1.968787515,-0.0041397
1.972789116,0.0016945
1.976790716,0.0012587
